Name,Substance,Amount,Sold As,Date Published,Date Tested,Location,Size
Eule,MDMA,100,NA,"Mar 06, 2020","Mar 06, 2020","Innsbruck, Austria",397.2 mg
No Speak,MDMA,179.2,MDMA / Ecstasy,"Mar 06, 2020","Mar 04, 2020","Bern, Switzerland",440.7 mg<br/>11.0 mm x 10.6 mm
Adulterated Cannabis,CUMYL-4CN-BINACA,"1</li>
</ul>",Cannabis,"Mar 06, 2020","Mar 04, 2020","Bern, Switzerland",-
Eule,MDMA,199.3,MDMA / Ecstasy,"Mar 06, 2020","Mar 03, 2020","Zurich, Switzerland",539.3 mg<br/>12.1 mm x 10.0 mm
Blotter,DOC,14.2,LSD,"Feb 28, 2020","Feb 15, 2020","Geneva, Switzerland",4.0&amp;nbspmm x 4.4&amp;nbspmm
Plata o Plomo,MDMA,218.7,MDMA / Ecstasy,"Feb 28, 2020","Feb 26, 2020","Bern, Switzerland",411.4 mg<br/>7.1 mm x 12.5 mm
Octopus,MDMA,170.5,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Zurich, Switzerland",540.2 mg<br/>12.7 mm x 11.1 mm
Mephedrone,3-Methylmethcathinone,"</li>
</ul>",Mephedrone,"Feb 28, 2020","Feb 25, 2020","Zurich, Switzerland",-
Chupa Chups,MDMA,122.7,MDMA / Ecstasy,"Feb 28, 2020","Feb 23, 2020","Bern, Switzerland",342.2 mg<br/>9.6 mm x 4.1 mm
Dom Pérignon,MDMA,138.4,MDMA / Ecstasy,"Feb 28, 2020","Feb 23, 2020","Bern, Switzerland",369.8 mg<br/>10.7 mm x 10.5 mm
Vogel,MDMA,168.3,MDMA / Ecstasy,"Feb 28, 2020","Feb 23, 2020","Bern, Switzerland",292.2 mg<br/>9.9 mm x 7.3 mm
Redbull,MDMA,170.7,MDMA / Ecstasy,"Feb 28, 2020","Feb 29, 2020","Bern, Switzerland",497.6 mg<br/>11.7 mm x 7.7 mm
Redbull,MDMA,217.8,MDMA / Ecstasy,"Feb 28, 2020","Feb 23, 2020","Bern, Switzerland",502.2 mg<br/>11.7 mm x 7.1 mm
Fake Xanax,Etizolam,"</li>
</ul>",Xanax / Alprazolam,"Feb 28, 2020","Feb 21, 2020","Zurich, Switzerland",333.8 mg<br/>15.2 mm x 6.6 mm
Mephedrone,3-Methylmethcathinone,"</li>
</ul>",4-Methylmethcathinone,"Feb 28, 2020","Feb 19, 2020","Bern, Switzerland",-
Skype,MDMA,148.4,MDMA / Ecstasy,"Feb 28, 2020","Feb 23, 2020","Bern, Switzerland",496.1 mg<br/>12.4 mm x 8.9 mm
Skype,MDMA,144.3,MDMA / Ecstasy,"Feb 28, 2020","Feb 23, 2020","Bern, Switzerland",497.3 mg<br/>12.2 mm x 8.8 mm
Philipp Plein,MDMA,221.4,MDMA / Ecstasy,"Feb 28, 2020","Feb 23, 2020","Bern, Switzerland",504.3 mg<br/>12.9 mm x 11.3 mm
Levi's,MDMA,173,MDMA / Ecstasy,"Feb 28, 2020","Feb 23, 2020","Bern, Switzerland",440.9 mg<br/>12.4 mm x 7.0 mm
Adulterated Cannabis,CUMYL-4CN-BINACA,"</li>
</ul>",Cannabis,"Feb 28, 2020","Feb 19, 2020","Bern, Switzerland",-
FC Barcelona,MDMA,187.5,MDMA / Ecstasy,"Feb 28, 2020","Feb 15, 2020","Geneva, Switzerland",379.1 mg<br/>10.4 mm x 10.5 mm
Handgranate,MDMA,187.9,MDMA / Ecstasy,"Feb 28, 2020","Feb 15, 2020","Geneva, Switzerland",479.1 mg<br/>12.9 mm x 8.3 mm
Diamant,MDMA,183,MDMA / Ecstasy,"Feb 28, 2020","Feb 15, 2020","Geneva, Switzerland",435.1 mg<br/>10.7 mm x 12.3 mm
Adulterated Heroin,Acetaminophen,"</li>
",Heroin,"Feb 28, 2020","Feb 26, 2020","Vienna, Austria",-
Fake Alprazolam,Flualprazolam,"</li>
</ul>",Alprazolam Tablet,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",-
Adulterated MDMA,Acetaminophen,"</li>
",MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",-
Blotter,Benzoylecgonine,"</li>
",LSD,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",-
Totenkopf,MDMA,318,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",11.6&amp;nbspmm x 3.8&amp;nbspmm
Kleeblatt,MDMA,232,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",-
Red Bull,MDMA,175,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",11.7&amp;nbspmm x 5.9&amp;nbspmm
Heineken,MDMA,156,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",12.3&amp;nbspmm x 4.3&amp;nbspmm
Trump,MDMA,142,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",12.1&amp;nbspmm x 4.4&amp;nbspmm
Bandit,MDMA,133,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",12.1&amp;nbspmm x 4.3&amp;nbspmm
Goldbarren,MDMA,129,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",10.1&amp;nbspmm x 4.4&amp;nbspmm
Affe,MDMA,118,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",10.5&amp;nbspmm x 4.3&amp;nbspmm
Pharaoh,MDMA,116,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",12.2&amp;nbspmm x 4.6&amp;nbspmm
Plata | Plomo,MDMA,238,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",12.2&amp;nbspmm x 4.8&amp;nbspmm
Plata | Plomo,MDMA,249,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",12.2&amp;nbspmm x 4.8&amp;nbspmm
Lipton,MDMA,127,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",13.2&amp;nbspmm x 4.3&amp;nbspmm
Lipton,MDMA,161,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",13.2&amp;nbspmm x 4.3&amp;nbspmm
Coca-Cola,MDMA,197,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",12.2&amp;nbspmm x 5.0&amp;nbspmm
Coca-Cola,MDMA,207,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",12.2&amp;nbspmm x 5.0&amp;nbspmm
Coca-Cola,MDMA,191,MDMA / Ecstasy,"Feb 28, 2020","Feb 25, 2020","Vienna, Austria",12.1&amp;nbspmm x 5.0&amp;nbspmm
Pink Powder,Ketamine,"10</li>
",2C-B,"Feb 21, 2020","Feb 19, 2020",Colombia,500 mg
MDMA,MDMA,"1</li>
</ul>",MDMA,"Feb 21, 2020","Feb 19, 2020","Rothbury, MI",100 mg
Moon Rocks,MDMA,"1</li>
",Molly,"Feb 21, 2020","Feb 19, 2020","West Covina, CA",131 mg<br/>7.3 mm x 23.4 mm
White Powder,Etizolam,"1</li>
</ul>",Alprazolam,"Feb 21, 2020","Feb 19, 2020","Online, China",400 mg
Modalert 200,Modafinil,"1</li>
</ul>",Modafinil,"Feb 21, 2020","Feb 19, 2020","Online, Singapore",323 mg<br/>10.2 mm x 10.2 mm
Molly,MDMA,"1</li>
</ul>",Molly,"Feb 21, 2020","Feb 19, 2020","Gainesville, FL",50 mg
Mitsubishi,Caffeine,"2</li>
",Molly,"Feb 21, 2020","Feb 19, 2020","Kansas City, MO",176 mg<br/>8.1 mm x 8.1 mm
MDMA,MDMA,"1</li>
</ul>",MDMA,"Feb 21, 2020","Feb 19, 2020","Houston, TX",5 mg
Mercedes,MDMA,"1</li>
",MDMA,"Feb 21, 2020","Feb 19, 2020",CO,212 mg<br/>8.1 mm x 8.1 mm
MDMA,MDMA,"1</li>
</ul>",MDMA,"Feb 21, 2020","Feb 19, 2020","Seattle, WA",50 mg
MDMA,MDMA,"1</li>
</ul>",MDMA,"Feb 21, 2020","Feb 19, 2020","Online, Poland",202 mg<br/>8.3 mm x 22.9 mm
Blue Punisher,MDMA,"13</li>
",MDMA,"Feb 21, 2020","Feb 19, 2020","Bell Gardens, CA",447 mg<br/>10.1 mm x 13.7 mm
MDMA,MDMA,"1</li>
</ul>",MDMA,"Feb 21, 2020","Feb 19, 2020","New York, NY",121 mg<br/>5.6 mm x 16.9 mm
IDRA-21,IDRA-21,"1</li>
</ul>",IDRA-21,"Feb 21, 2020","Feb 19, 2020","Online, Europe",100 mg
